company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
DABUR,201803,+,-,-,Shareholder Returns
DABUR,201903,+,+,-,Liquidating Assets
DABUR,202003,+,-,-,Shareholder Returns
DABUR,202103,+,-,-,Shareholder Returns
DABUR,202203,+,-,-,Shareholder Returns
DABUR,202303,+,-,-,Shareholder Returns
DABUR,202403,+,-,-,Shareholder Returns
DIVISLAB,201303,+,-,-,Reinvestor
DIVISLAB,201403,+,-,-,Reinvestor
DIVISLAB,201503,+,-,-,Reinvestor
DIVISLAB,201603,+,-,-,Reinvestor
DIVISLAB,201703,+,-,+,Mixed
DIVISLAB,201803,+,-,-,Reinvestor
DIVISLAB,201903,+,-,-,Reinvestor
DIVISLAB,202003,+,-,-,Reinvestor
DIVISLAB,202103,+,+,-,Liquidating Assets
DIVISLAB,202203,+,-,-,Reinvestor
DIVISLAB,202303,+,-,-,Reinvestor
DIVISLAB,202403,+,-,-,Reinvestor
DLF,201303,+,+,-,Liquidating Assets
DLF,201403,+,+,-,Liquidating Assets
DLF,201503,+,+,-,Liquidating Assets
DLF,201603,+,-,-,Reinvestor
DLF,201703,-,+,+,Distress Signal
DLF,201803,+,-,-,Reinvestor
DLF,201903,+,+,+,Cash Accumulator
DLF,202003,+,+,-,Liquidating Assets
DLF,202103,+,+,-,Liquidating Assets
DLF,202203,+,+,-,Liquidating Assets
DLF,202303,+,-,-,Reinvestor
DLF,202403,+,-,+,Mixed
DMART,201303,+,-,+,Mixed
DMART,201403,+,-,+,Mixed
DMART,201503,+,-,+,Mixed
DMART,201603,+,-,+,Mixed
DMART,201703,+,-,+,Mixed
DMART,201803,+,+,-,Liquidating Assets
DMART,201903,+,-,+,Mixed
DMART,202003,+,-,+,Mixed
DMART,202103,+,-,-,Shareholder Returns
DMART,202203,+,-,-,Shareholder Returns
DMART,202303,+,-,-,Shareholder Returns
DMART,202403,+,-,-,Shareholder Returns
DRREDDY,201303,+,-,-,Shareholder Returns
DRREDDY,201403,+,-,-,Shareholder Returns
DRREDDY,201503,+,-,-,Shareholder Returns
DRREDDY,201603,+,-,-,Shareholder Returns
DRREDDY,201703,+,-,-,Shareholder Returns
DRREDDY,201803,+,-,-,Shareholder Returns
DRREDDY,201903,+,-,-,Shareholder Returns
DRREDDY,202003,+,-,-,Shareholder Returns
DRREDDY,202103,+,-,-,Shareholder Returns
DRREDDY,202203,+,-,-,Shareholder Returns
DRREDDY,202303,+,-,-,Shareholder Returns
DRREDDY,202403,+,-,-,Shareholder Returns
EICHERMOT,201212,+,-,-,Reinvestor
EICHERMOT,201312,+,-,-,Reinvestor
EICHERMOT,201412,+,-,-,Reinvestor
EICHERMOT,201603,+,-,-,Reinvestor
EICHERMOT,201703,+,-,+,Mixed
EICHERMOT,201803,+,-,-,Reinvestor
EICHERMOT,201903,+,-,-,Reinvestor
EICHERMOT,202003,+,-,-,Reinvestor
EICHERMOT,202103,+,-,-,Reinvestor
EICHERMOT,202203,+,-,-,Reinvestor
EICHERMOT,202303,+,-,-,Reinvestor
EICHERMOT,202403,+,-,-,Reinvestor
GAIL,201303,+,-,+,Mixed
GAIL,201403,+,-,-,Reinvestor
GAIL,201503,+,-,-,Reinvestor
GAIL,201603,+,-,-,Reinvestor
GAIL,201703,+,-,-,Reinvestor
GAIL,201803,+,-,-,Reinvestor
GAIL,201903,+,-,-,Reinvestor
GAIL,202003,+,-,+,Mixed
GAIL,202103,+,-,-,Reinvestor
GAIL,202203,+,-,-,Reinvestor
GAIL,202303,+,-,+,Mixed
GAIL,202403,+,-,-,Reinvestor
GODREJCP,201303,+,-,+,Mixed
GODREJCP,201403,+,-,-,Reinvestor
GODREJCP,201503,+,-,-,Reinvestor
GODREJCP,201603,+,-,-,Reinvestor
GODREJCP,201703,+,-,+,Mixed
GODREJCP,201803,+,-,-,Reinvestor
GODREJCP,201903,+,+,-,Liquidating Assets
GODREJCP,202003,+,-,-,Reinvestor
GODREJCP,202103,+,-,-,Reinvestor
GODREJCP,202203,+,-,-,Reinvestor
GODREJCP,202303,+,-,-,Reinvestor
GODREJCP,202403,+,-,+,Mixed
GRASIM,201303,+,-,+,Mixed
GRASIM,201403,+,-,-,Reinvestor
GRASIM,201503,+,-,-,Reinvestor
GRASIM,201603,+,-,-,Reinvestor
GRASIM,201703,+,-,-,Reinvestor
GRASIM,201803,-,+,+,Distress Signal
GRASIM,201903,-,-,+,Growth Funded by Debt
GRASIM,202003,+,-,-,Reinvestor
